algorithm,pathway_id,precision,recall_at_6_hops,f1_score,path_length_accuracy,hub_node_ratio,mrr,edit_distance,relation_accuracy,predicted_length,ground_truth_length
Dijkstra,dofetilide_Atrial_fibrillation,1.0,0.6,0.7499999999999999,0.6,1.0,1.0,0.4,1.0,3,5
Dijkstra,Terfenadine_Rhinitis_Vasomotor,1.0,0.75,0.8571428571428571,0.75,0.6666666666666666,1.0,0.25,0.5,3,4
Dijkstra,Piribedil_Parkinsonism,1.0,0.6,0.7499999999999999,0.6,0.3333333333333333,1.0,0.4,1.0,3,5
Dijkstra,dexibuprofen_Rheumatoid_arthritis,0.6666666666666666,0.4,0.5,0.6,1.0,0.0,0.6,0.0,3,5
Dijkstra,metharbital_Epilepsy,0.6666666666666666,0.3333333333333333,0.4444444444444444,0.5,0.6666666666666666,0.0,0.6666666666666666,1.0,3,6
Dijkstra,eptacog_alfa_activated_Factor_VII_deficiency,1.0,0.6,0.7499999999999999,0.6,0.0,1.0,0.4,1.0,3,5
Dijkstra,etodolac_Rheumatoid_arthritis,0.6666666666666666,0.4,0.5,0.6,1.0,0.0,0.6,0.0,3,5
Dijkstra,norepinephrine_Low_blood_pressure,1.0,0.6,0.7499999999999999,0.6,0.6666666666666666,1.0,0.4,1.0,3,5
Dijkstra,aripiprazole_Infantile_autism,0.6666666666666666,0.3333333333333333,0.4444444444444444,0.5,1.0,0.0,0.6666666666666666,1.0,3,6
Dijkstra,melevodopa_Parkinsonism,0.6666666666666666,0.3333333333333333,0.4444444444444444,0.5,0.3333333333333333,0.0,0.6666666666666666,1.0,3,6
Dijkstra,methoxamine_Low_blood_pressure,1.0,0.75,0.8571428571428571,0.75,0.6666666666666666,1.0,0.25,1.0,3,4
Dijkstra,flurbiprofen_Rheumatoid_arthritis,0.6666666666666666,0.4,0.5,0.6,1.0,0.0,0.6,0.0,3,5
Dijkstra,Diphenhydramine_Rhinitis_Vasomotor,1.0,0.75,0.8571428571428571,0.75,0.6666666666666666,1.0,0.25,1.0,3,4
Dijkstra,tolmetin_Rheumatoid_arthritis,0.6666666666666666,0.4,0.5,0.6,1.0,0.0,0.6,0.0,3,5
Dijkstra,sorafenib_Renal_cell_carcinoma,1.0,0.3,0.4615384615384615,0.30000000000000004,0.6666666666666666,1.0,0.7,1.0,3,10
Dijkstra,midostaurin_Mast_cell_leukemia,1.0,0.5,0.6666666666666666,0.5,0.6666666666666666,1.0,0.5,1.0,3,6
Dijkstra,sulfasalazine_Rheumatoid_arthritis,0.6666666666666666,0.4,0.5,0.6,1.0,0.0,0.6,0.0,3,5
Dijkstra,pegvisomant_Acromegaly,1.0,1.0,1.0,1.0,0.5,1.0,0.0,1.0,4,4
Dijkstra,diclofenac_Rheumatoid_arthritis,0.6666666666666666,0.4,0.5,0.6,0.6666666666666666,0.0,0.6,0.0,3,5
Dijkstra,sulindac_Rheumatoid_arthritis,0.6666666666666666,0.4,0.5,0.6,1.0,0.0,0.6,0.0,3,5
Dijkstra,sunitinib_Gastrointestinal_stromal_tumor,0.6666666666666666,0.2,0.30769230769230765,0.30000000000000004,0.6666666666666666,0.0,0.8,0.0,3,10
Dijkstra,sunitinib_Renal_cell_carcinoma,1.0,0.3,0.4615384615384615,0.30000000000000004,0.6666666666666666,1.0,0.7,1.0,3,10
Dijkstra,mephentermine_Low_blood_pressure,1.0,0.6,0.7499999999999999,0.6,0.6666666666666666,1.0,0.4,1.0,3,5
Dijkstra,norethindrone_acetate_Endometriosis,0.6666666666666666,0.5,0.5714285714285715,0.75,1.0,0.0,0.5,0.5,3,4
Dijkstra,aceclofenac_Rheumatoid_arthritis,1.0,0.6,0.7499999999999999,0.6,1.0,1.0,0.4,1.0,3,5
